39347	80276	25624	32070	31333	14510
39970	82731	25451	31927	31694	14277
40729	84777	25940	32917	33125	14905
42905	89812	27400	34514	35013	15627
44369	93262	28204	35295	36149	16043
45598	96082	28517	36142	37431	16513
47016	100240	29522	37361	38932	16970
47722	102187	29742	37518	39934	17186
48801	101967	30015	38152	40474	17406
49826	104247	30404	38738	40689	17520
50470	106495	30652	39090	40526	17434
51072	107356	30738	39446	40121	17598
52571	112692	31235	39854	41056	17595
54047	115121	32010	40590	40927	17831
55454	117568	32906	41616	41751	18163
57582	121534	33829	42983	42756	18740
60196	125065	34922	44795	43324	19596
62355	129659	35932	46417	44560	20117
64628	134457	36997	47559	45543	20416
66241	137173	37568	48317	45843	20689
67881	141012	38483	49178	46191	21063
69118	143958	39094	50208	46503	21332
70366	145084	39240	50394	46465	20949
72158	148508	40186	51562	46295	21993
74250	152554	41009	52402	46023	21717
75140	154882	41243	53111	45228	21813
76600	157527	41868	53998	44938	22035
78000	159897	42239	54736	44548	22115
79427	163452	43136	56306	44475	22716
80543	166290	43597	56900	44693	22897
82688	171353	44701	57947	45465	23436
85138	177467	46098	59894	46307	23960
85905	178999	45837	60273	46263	23905
88223	182638	47131	61743	47370	24566
90235	188622	48374	63008	48260	25180
92457	194002	49436	64360	48968	25600
93971	201625	50557	65355	49547	26296
95063	205107	51237	66196	50183	26551
96120	207964	51687	67060	50654	26720
97841	212236	52597	67924	51546	27106
100133	215867	53162	69201	52909	27110
101714	219914	54265	69991	53794	27641
103420	223309	54934	71206	54679	28087
102994	223725	55444	71137	55346	28345
103588	223720	56297	71827	55523	28489
105211	225285	56691	72601	55991	28768
106318	225971	57228	73325	56475	29056
107977	227688	58022	74533	57556	29572
110481	228805	59021	76997	57976	30110
112613	231732	59937	78840	58943	30555
114388	221705	60727	79756	58625	30865
117893	243235	61844	81896	60455	31469
116212	239778	61375	81308	59644	31721
120098	245718	62376	83067	60993	32363
120820	246458	62548	84000	61126	32898
123836	250746	63961	86068	62008	33639
124243	249285	64064	86093	63016	34390
128942	256744	65847	88897	63494	35181
131107	261087	67045	90736	65039	35858
134099	265786	68018	92810	65713	36182
136187	270981	68847	94001	66744	36376
137209	273517	69144	94564	67196	36543
139496	276743	69739	95230	68485	36975
143019	280969	70276	96719	68754	37649
145727	287017	70520	97360	69454	38213
150009	291784	71880	99152	70725	38977
152527	296350	72810	100766	71564	39223
154677	300640	73525	102014	72407	39512
157819	305384	75035	103528	73497	40727
159246	309098	75287	104289	74339	41026
161993	314813	76228	105494	75426	41542
165298	320492	77426	108218	77141	42527
170667	331673	79605	109890	78534	43530
174281	339101	80635	112769	79895	44105
178719	345125	81734	114349	80689	44882
181906	349302	82753	116209	81100	45502
184439	353037	82854	116150	79744	45074
186336	357848	83615	118425	80665	45633
188706	361582	84302	119797	81135	46324
193803	368095	85812	122202	82764	47103
201188	381416	87290	124366	84458	47818
203224	387169	87889	124923	85396	48336
206250	393458	88337	126657	85858	48579
207379	396626	89118	127129	86186	48616
210498	400983	90706	128822	88952	49771
211773	403949	91296	129190	89512	49952
212789	406004	91687	129568	90304	49779
212598	406143	91480	129483	90579	49935
211296	410345	92087	131200	90337	49645
213018	414478	92951	132412	90798	50054
212290	416115	93661	132223	91051	50239
212952	419417	94302	133089	91859	50420
215370	419585	95325	134782	91890	51201
216764	424866	95866	135985	93086	51383
218099	430805	96734	136838	94120	51915
221375	440370	98511	139594	95836	52909
223607	457556	100371	140778	96480	52971
227282	469131	102323	142956	97224	53682
230726	461969	102896	145733	98628	54698
236868	495832	106969	147997	101287	55676
239563	498922	106565	147893	102418	56491
243093	509681	108252	149597	103404	57190
247916	523792	107137	152883	-15543	41834
254200	531246	112815	155024	109875	60355
255482	551676	112533	157969	109440	59694
258544	560290	114345	161106	112162	60463
261719	569812	115974	162061	114549	61187
266106	577810	117419	164901	117076	62153
272279	580068	119565	165280	120253	62647
274539	585119	120910	167507	128336	65347
277205	594250	122389	168927	129225	66259
277670	595532	123611	172031	130649	66011
279901	596357	124619	172403	129869	66281
280362	596228	125526	172598	130853	67061
282011	597121	126678	174210	132027	67119
280182	591020	125760	173081	132918	66725
