8.5	2191.3	40.0	9.5	3788.6	40.2	14.8	1282.9	39.4	13.3	1657.8	39.7	12.4	1550.4	40.9	13.7	769.6	39.0
8.5	2196.2	40.3	9.1	3816.1	40.0	15.0	1285.6	39.8	13.0	1659.2	39.6	12.1	1546.0	39.8	13.9	768.7	39.1
8.0	2218.3	40.3	8.9	3856.2	40.1	13.4	1294.4	39.9	12.5	1678.1	39.6	12.0	1551.6	39.6	13.3	775.7	39.2
7.4	2251.1	40.7	8.4	3881.3	40.0	12.7	1312.6	40.2	11.8	1698.9	40.0	11.8	1555.0	39.4	13.0	784.5	39.4
7.3	2263.0	40.8	8.5	3882.9	40.5	12.3	1321.3	40.4	11.3	1715.7	40.6	12.1	1564.4	39.8	13.4	790.5	39.8
8.3	2284.7	41.7	9.3	3894.6	41.3	13.6	1338.5	40.8	12.4	1721.4	40.9	13.6	1567.3	40.4	15.1	795.5	40.8
7.9	2280.8	40.8	8.9	3855.6	40.6	12.8	1342.9	40.7	11.7	1697.4	40.3	12.7	1555.3	40.2	12.9	791.1	39.8
7.4	2286.5	41.2	8.6	3852.3	40.4	12.9	1340.6	40.9	11.7	1719.9	40.8	12.7	1550.2	39.5	12.6	787.9	40.5
7.3	2334.9	41.7	8.6	3939.3	40.6	12.2	1348.2	41.6	11.1	1765.8	41.1	12.0	1578.3	40.3	11.9	810.2	40.8
7.2	2333.8	41.8	8.3	3978.5	41.2	11.9	1355.0	41.6	10.8	1766.8	41.1	9.9	1586.3	39.7	11.0	812.9	40.7
6.4	2347.0	41.8	7.6	4029.3	41.5	11.3	1359.1	41.0	10.5	1770.7	41.0	9.6	1586.4	40.2	10.3	812.7	40.6
6.2	2366.8	42.3	7.0	4090.2	42.2	10.9	1364.2	41.6	10.2	1775.7	41.1	9.5	1590.7	40.7	10.2	813.8	41.6
6.6	2345.6	40.5	7.4	4091.8	41.5	11.5	1345.7	40.9	11.1	1742.8	40.4	10.5	1561.6	41.3	11.2	801.0	40.5
