42.4	3247.3	41.2	5790.8	41.6	1752.6	40.9	2426.9	43.5	1714.2	41.6	1055.8
42.7	3272.7	41.3	5795.5	42.2	1762.7	41.2	2431.3	43.6	1721.7	42.1	1064.5
42.3	3257.9	40.9	5697.5	41.5	1752.0	40.6	2409.4	42.8	1716.9	41.4	1055.4
42.6	3282.2	41.1	5702.7	41.8	1756.8	40.8	2431.4	43.0	1721.8	41.7	1067.2
42.6	3305.4	41.3	5817.1	42.3	1779.1	40.9	2467.7	44.1	1745.4	42.1	1075.5
42.5	3324.4	41.1	5825.3	42.6	1781.0	41.2	2462.5	43.8	1748.4	42.0	1066.9
42.7	3359.8	41.8	5936.3	42.3	1806.1	41.3	2500.1	44.5	1757.4	42.2	1073.0
43.2	3382.1	42.3	5969.1	42.8	1797.5	41.5	2494.0	44.9	1764.7	42.9	1075.9
42.7	3309.1	41.6	5871.1	42.1	1769.5	40.9	2425.0	43.4	1725.2	41.6	1057.9
42.3	3327.0	41.3	5945.1	42.0	1776.7	40.8	2441.6	42.9	1737.5	41.2	1063.6
42.2	3360.3	41.7	6008.7	41.9	1789.5	40.7	2473.3	43.2	1750.9	41.1	1066.5
41.0	3370.7	40.3	5975.4	41.2	1800.3	39.5	2479.1	42.0	1756.8	39.7	1072.5
42.3	3393.7	40.9	5990.1	40.9	1806.0	40.4	2499.5	42.0	1772.1	40.2	1078.7
42.3	3425.6	41.3	5992.1	41.6	1813.8	40.3	2503.5	42.8	1780.4	40.8	1079.3
41.9	3382.5	40.8	5866.8	41.2	1796.2	39.7	2476.5	42.6	1768.2	40.6	1058.2
42.3	3414.9	41.7	5882.1	41.1	1799.2	40.1	2506.8	43.4	1771.8	41.0	1079.7
42.5	3436.5	41.6	5998.9	41.7	1813.5	40.5	2541.7	43.5	1795.9	41.6	1087.9
42.3	3442.7	41.5	6015.6	42.1	1818.1	40.5	2534.5	43.7	1789.9	41.1	1082.0
42.5	3470.1	41.8	6103.5	41.9	1829.1	40.7	2547.9	44.4	1795.3	41.3	1082.7
42.9	3495.0	42.0	6171.5	42.0	1832.0	41.3	2557.4	44.7	1798.1	41.8	1085.4
40.6	3416.9	41.0	6045.0	40.3	1793.8	38.4	2465.5	43.2	1762.0	40.9	1065.9
41.7	3448.4	41.0	6121.1	41.3	1800.4	40.5	2482.2	44.3	1774.3	40.8	1069.3
42.0	3482.2	41.0	6211.0	41.2	1814.3	40.1	2536.2	44.0	1787.5	41.1	1078.5
41.6	3495.3	40.9	6150.2	41.2	1822.7	40.0	2516.9	43.7	1798.7	40.8	1088.0
42.2	3529.4	41.2	6169.7	41.1	1830.3	40.2	2538.7	44.5	1814.1	40.8	1095.3
42.8	3559.4	41.4	6159.7	41.9	1827.7	41.1	2535.5	44.1	1818.7	41.5	1096.8
42.1	3582.4	40.8	6052.5	41.6	1822.0	40.4	2512.2	43.2	1801.3	41.1	1078.4
42.6	3540.6	41.5	6080.7	41.9	1827.6	41.2	2535.7	44.2	1806.7	41.4	1095.3
43.0	3541.4	41.5	6189.4	42.1	1838.0	41.4	2562.7	44.8	1827.1	41.8	1101.9
42.2	3552.4	41.7	6219.3	42.3	1848.1	40.8	2559.4	44.1	1825.8	41.3	1094.6
42.7	3578.3	42.5	6301.2	42.4	1859.4	40.9	2576.0	44.9	1835.1	41.6	1099.6
44.5	3601.0	43.2	6368.0	42.5	1859.3	41.9	2579.1	45.6	1838.6	42.7	1102.8
42.4	3517.7	41.7	6275.9	41.4	1830.0	40.2	2505.3	44.1	1797.6	41.7	1079.9
41.9	3539.5	41.5	6330.9	41.7	1836.0	40.8	2526.5	42.4	1809.0	41.3	1085.9
42.3	3572.7	41.7	6389.6	41.9	1853.8	41.0	2555.6	44.3	1825.1	41.1	1095.4
